description,id,location
Retired York Regional police officer living with a physical disability. I do not believe in fake science or government mandated drugs.,33,"Elliott Lake, Ontario, Canada"
"Telling the other side of the story.  Follow @RebelNewsOnline, @RebelNews_AU, @RebelNews_QC, @RebelNews_USA and @RebelNews_QC",34,Canada
Speaker. Author My Tar Sands Tipping Point w CBC. Communications Mngr-@FriendsOScience,35,
I Can Fart On Command  Community gardening is a tactic.,36,Desert Earth
Print and online journal dedicated to thoughtful journalism about environmental and other intersectional issues. Send pitches to submissions@earthisland.org.,37,"ÜT: 37.7889,-122.401312"
,38,
"Geólogo egresado del IPN, Premio Nacional 2003, Autor del libro Planeta Tierra, riesgos geológicos y desastres naturales",39,Mexico D.F.
,40,
"I live on the florida gulf coast..and love it...I despise the GOP, it is the party of sexism, racism, corruption, and treason and traitors ..period..🐬 🌊🌊🌊🐬",41,Crestview Florida...gulf coast
Edward R. Murrow award winning Cree/Iroquois/French Human Rights Journalist. Mother. Warrior. A Force. BESTSELLING AUTHOR Our Voice of Fire #MMIWG #landback,42,"Stony Plain, AB- Treaty 6"
Single,43,Nigeria
Without Fear. Without Favor. https://t.co/CJ9xPqtNul,44,Makati City
,45,
"El mundo, una caricatura. Si retuiteo o refiero algo no necesariamente estoy de acuerdo con el tuit original. Solo hay un México. Cuidémoslo.",46,CDMX México
सत्यं वा मौनम्,47,अटलाण्टिस्
"Occupying the present, while respecting the past to prepare for the future",48,
Fmr Hotshot Overhead/Crew Supervisor. Call it like it is. Subscribing to the Newsletter/Podcast supports firefighter donations and content👇,49,MN\MT
Top news and features from AFP's reporters around the world.  Official account.,50,Around The World
Twitter WAS great. Now a cyber weapon. #IStandWithTrudeau Just left of centre. Not a fascist. LPC. Provincial @BCNDP.,51,Vancouver
"34, Politically minded. #СлаваУкраїні! 🇨🇦❤️🇺🇦",52,"Oakville, Ontario"
I am passionate about #News videos about #AtlanticCanada and #Canada.,53,
Avert is Canada’s only media brand dedicated to informing professionals involved in disaster management. #disasters #EMGTwitter,54,
Disabilities • Feminism •  2SLGBTQIA+  Abolition • Active-Travel • Sustainability   Science • Nature • History @LyraBee@mstdn.social (she/her),55,Stolen Duwamish Land
MP for Scarborough Southwest. President of the King’s Privy Council for Canada and Minister of Emergency Preparedness. Former Toronto Chief of Police. 🇨🇦,56,"Scarborough, ON"
Certified Industrial Hygienist,57,"Greater Toronto Area, Canada"
"Doctor, Dad, Canadian. Personal tweets. Anesthesiologist.",58,"Ontario, CA"
Escribo sobre la crisis climática y ecológica. 🌎  Mastodon: https://t.co/A5OFt4QZ7U  #ClimateCrisis #ClimateEmergency,59,"Buenos Aires, Argentina"
Einer von uns beiden ist klüger als du.,60,
"Director, @ICCCAD and Senior Associate @IIED. Work on adaptation to climate change. Views presented are my own.",61,"London, UK"
"Love learning, teaching, traveling, & embracing our world's cultures. In our diversity, there is always commonality.",62,"Lakeland, FL"
"Settler. Runner. Author. Past and Future Survivor. Often woke. #NAFOCatsDivision. If kindness isn’t important to you, I can’t be your friend. Also, #CancerSucks",63,Unceded kʷikʷəƛ̓əm territory
Actor. Producer. @UVa @Cuse @NewhouseSU I tell bad jokes. #GoHoos #UVaMensLax,64,D.C.
"Assistant Professor, Faculty of Ed @ Lakehead University, climate change educator & activist, mom. Tweets are my own and often crafted quickly.",65,"Orillia, Ontario"
ED at the Clean Economy Fund. Board member @IISD_News & @CanadianOrganic. In search of the perfect chocolate chip cookie.,66,
PLANETARY EMERGENCY. 🇳🇴🇲🇽🇬🇧🇿🇦🇮🇱🇬🇷🇺🇸🇰🇷🇨🇳🇦🇷🇨🇦🇩🇪🇧🇷🇫🇷🇷🇺🇹🇷🇺🇾🇵🇦🇯🇵,67,Planet Earth
"Sismología,Ufología,Ecología,Tecnología,Psicología,Sociología,Astronomía,ExoPolítica,Guerras,Conspiraciones,NWO,Illuminatis,Metafísica,Salud y Bienestar (ES-IN)",68,En un rincón del Planeta
,69,USA
"First Nations advocate. Ex anti-racism facilitator. Dakelh FN Survived rez school, white feminism, sexual abuse. NO LISTS https://t.co/LeBntUiRag…",70,"Vancouver, British Columbia"
,71,
"Retired college prof. Loves nature, wildlife, pets, peace & social justice. It's not what u look at that matters. It's what u see. HD Thoreau. No DMs/Lists pls.",72,"Niagara Region, Ontario"
Premier of Ontario • Leader of the @OntarioPCParty • We're getting it done,73,Ontario
🐝#2025🌐 .    .⬆️0⬇️,74,
.#AnonOrg,75,"Melbourne, Victoria"
Journalism prof at Toronto's Centennial College and writer/editor @cbc. BA @uvic MA @RoyalRoads. Formerly @nationalpost @torontostar. Punk rock girl at heart.,76,Toronto
"Courage doesn't always roar. Sometimes courage is the quiet voice at the end of the day saying 'I will try again tomorrow.' Mary Anne Radmacher, American author",77,Midwest
"Aardwetenschapper; bodemkunde, permafrost, klimaat, natuur. Geboren bij CO2 312 ppm (nu 421 ppm).",78,
,79,France
"Weather and sports junky. LIDAR, GPS, GIS, Drone and Cartography Specialist. Proud Father and Husband. Die-hard Boston Bruins fan!",80,
Reporting on real-time space events. Join our newsletter 👇,81,
"Recovering academic. Interested in politics, human rights, social justice, social research. Professional writer, editor, and artist. Mastodon: @DexterDog@mas.to",82,Toronto
,83,
Bomberos Forestales. Wildland Firefighters Spain. Cuidando el monte. Ahora inactivo. Aprendiendo y divulgando sobre incendios forestales. Y lo que me de la gana,84,Puerto de Béjar (Salamanca)
"This is Mama Meerkat's curated feed of significant news stories from around the world, with special focus on severe weather and natural disasters.",85,USA
Why destroy our fragile #climate just to satisfy fossil fuel profit margins when we can go green save life on Earth #Arctic #keepitintheground #climatechange,86,
,87,
universal love 🎶🎵🎶🎶🎶,88,"New Jersey, USA"
The pulse of the nation in the palm of your hand.,89,"USA TODAY HQ, McLean, Va."
"editor, writer, talking head, optimistic nomad, loyal to the end",90,
"📺 The Agenda with @spaikin & @namshine Weeknights at 8/11pm ET https://t.co/fQOHYejtau  🗞️ TVO Today: current affairs journalism, podcasts & documentaries https://t.co/3ffz64TtYs",91,Ontario
,92,
Orgullosamente Veracruzana ❤️🇲🇽 De regreso amigos 💃 I am backkkkkkkkk. (BARRENECHEA),93,México 🇲🇽
Just taking notes,94,Toronto
Breaking Canadian news with a fresh perspective on local & international headlines 🚨YT: https://t.co/ZNfHkcI2Pk 🚨 TikTok: https://t.co/accIYMdCHe,95,
#FreeAssange #FreeAnimals #NoMigrantes🇨🇱 #ChileSinRodeo #LibertadAPresosPolíticos #Octubrista #VoricAmarilloQlo Bloqueó 🤖,96,Mi hogar no esta aqui
